Date,Latitude,Longitude,Leaf_Wetness,Elevation,Drought,Precipitation,Relative_Humidity,Soil_Moisture,Solar_Power,Wind_Speed,Temperature,isFire
2017-02-16T00:00:00Z,40.7,-119.4,0,1268,-2,0,58.6,0.647,61.8,7.5,9.6,0
2019-01-05T00:00:00Z,39.1,-121.7,1,13,-3,1.7,64,0.679,121.3,8,10.6,0
2021-07-16T00:00:00Z,40.5,-119.6,0,1714,-4,0,9.6,0,438.7,24.7,29.9,0
2014-05-14T00:00:00Z,38.5,-121.4,0,9,-3,0,14.7,0.108,407,6.9,30.9,0
2018-12-14T00:00:00Z,41,-122.1,0,1165,1,0,38.4,1.014,72,16.7,9,0
2019-10-11T00:00:00Z,38.9,-120.3,0,2030,-4,0,16,0.612,256.8,46,10.2,0
2018-02-22T00:00:00Z,37.5,-120.3,0,233,-4,0,24.8,0.246,298.8,9.7,9,0
2019-06-22T00:00:00Z,36.1,-119.5,0,66,-4,0,14.5,0,391.1,17,30.9,0
2018-07-15T00:00:00Z,38,-120.3,0,895,-3,0,28.2,0.054,410.7,15.9,29,0
2015-07-20T00:00:00Z,36.1,-120.7,0,500,0,3.26,48.1,0.297,291.8,9.3,25.5,0
2019-04-25T00:00:00Z,38.8,-122.8,0,569,4,2.17,34.1,0.738,381.8,9.5,26.7,0
2021-03-04T00:00:00Z,39.4,-122.4,0,282,-4,0,12.4,0.008,303.8,10.5,20.8,0
2017-10-03T00:00:00Z,39.4,-122.4,0,282,-4,0,14,0,269,43.7,21.3,0
2016-01-06T00:00:00Z,37.4,-119.6,1,1442,1,33.26,99.4,1.01,2.3,22.5,2.8,0
2019-02-21T00:00:00Z,36.6,-118.1,0,1320,0,0,32.8,0.859,203.8,7.6,2.8,0
2017-04-06T00:00:00Z,39,-123,0,836,4,0,17.4,0.809,202.8,14.1,16,0
2017-03-08T00:00:00Z,36.7,-120.4,0,58,1,0,55.1,0.558,288.2,13.2,13.9,0
2014-04-03T00:00:00Z,36.6,-120.1,0,55,-2,3.52,36.1,0.11,309.6,9.9,14.2,0
2015-06-07T00:00:00Z,36.8,-119.8,0,102,-4,0,24.6,0,286.6,15.1,29.6,0
2015-07-06T00:00:00Z,38.3,-120.1,0,1951,-3,0,35.2,0.408,430.6,10.7,20.1,0
2019-05-07T00:00:00Z,40.2,-120.2,0,1224,-2,0,35.6,0.114,222.8,19.8,20.3,0
2016-03-10T00:00:00Z,37.5,-118.8,0,3477,-4,0,46.3,0.012,272.9,29.6,-2.1,0
2018-07-10T00:00:00Z,36.8,-120.6,0,72,-4,0,6.1,0,394,22.6,38.3,0
2016-05-17T00:00:00Z,37.8,-119.8,0,1648,4,2.14,55.8,0.902,354,9,12.5,0
2021-05-23T00:00:00Z,39.6,-122.8,0,1485,-2,0.28,44.5,0.25,211.1,13,11.5,0
2014-02-03T00:00:00Z,37.2,-118.9,0,3134,-4,6.62,92,0.469,0,14.2,-9.1,0
2019-06-11T00:00:00Z,39.7,-122.5,0,245,4,0,12.2,0.08,438.4,10.1,34.7,0
2019-09-14T00:00:00Z,39.1,-121.7,0,13,-4,3.5,7.8,0,315.2,5.7,35.6,0
